Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,22,17,11,58,636,707,28.86875,95113,544.20538
2015,1,22,17,25,14,639,711,29.0875,95100,545.95721
2015,1,22,17,40,23,635,709,29.55625,95085,547.18585
2015,1,22,17,55,13,648,725,29.268749,95071,548.76331
2015,1,22,18,9,52,644,717,29.28125,95056,549.98932
2015,1,22,18,25,13,640,710,29.43125,95051,550.60229
2015,1,22,18,40,4,641,710,28.975,95029,552.00537
2015,1,22,18,55,36,644,708,28.90625,95022,552.96979
