Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,27,16,27,2,623,687,26.3375,94931,561.12653
2015,1,27,16,41,33,648,737,28.61875,94940,560.24927
2015,1,27,16,56,31,655,736,29.793751,94937,560.86224
2015,1,27,17,11,49,664,763,30.237499,94941,559.89783
2015,1,27,17,26,14,675,786,30.36875,94935,561.03931
2015,1,27,17,41,33,673,789,30.737499,94921,561.91656
2015,1,27,17,56,55,680,802,30.9625,94920,561.56512
2015,1,27,18,13,12,682,796,31.262501,94923,561.47791
2015,1,27,18,27,43,677,789,31.3125,94913,562.35516
