Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,6,27,11,52,4,320,324,16.575001,54502,4947.2061
2015,6,27,12,0,39,345,385,13.98125,54508,4946.6563
2015,6,27,12,12,50,373,455,13.28125,54513,4945.2798
2015,6,27,12,40,56,407,570,10.225,54533,4942.9438
2015,6,27,13,3,39,432,636,14.03125,54547,4941.5703
2015,6,27,13,21,49,444,677,13.68125,54555,4939.7837
2015,6,27,13,29,20,449,693,15.1125,54552,4939.9214
2015,6,27,13,42,44,458,717,14.93125,54559,4939.6465
2015,6,27,13,56,56,455,733,10.78125,54554,4939.5093
