Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,27,16,26,50,625,691,26.7875,94714,579.83118
2015,1,27,16,41,30,642,732,29.09375,94716,579.04114
2015,1,27,16,58,0,655,742,30.575001,94720,579.30536
2015,1,27,17,11,26,659,753,31.2125,94708,579.30536
2015,1,27,17,27,27,659,772,31.018749,94710,580.0954
2015,1,27,17,43,7,669,773,31.581249,94700,581.50372
2015,1,27,17,57,15,682,791,31.612499,94697,580.88806
2015,1,27,18,13,13,683,790,31.737499,94710,581.06244
2015,1,27,18,28,26,673,779,32,94688,581.94232
