Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,27,16,26,45,670,696,26.975,94789,573.50555
2015,1,27,16,41,9,698,739,29.46875,94787,573.85699
2015,1,27,16,56,23,705,752,30.825001,94779,573.50555
2015,1,27,17,11,1,718,767,31.268749,94786,573.67993
2015,1,27,17,26,28,730,785,31.36875,94773,574.20837
2015,1,27,17,41,55,733,789,31.674999,94765,575.34985
2015,1,27,17,57,23,736,796,32.018749,94765,575.08563
2015,1,27,18,13,31,736,792,31.90625,94773,574.20837
2015,1,27,18,28,53,727,781,31.96875,94752,576.84271
